"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 30 08:50:38 PST 2022","Mon May 30 08:50:39 PST 2022","826","","USER - IOS: Log In Tests","","USER - IOS: Log In Tests","""before all"" hook for USER - IOS: Log In Tests","""before all"" hook for USER - IOS: Log In Tests",""
"passed","Sat May 28 22:28:11 PST 2022","Sat May 28 22:28:18 PST 2022","6170","","Login Tests","","Login Tests","Log In with incomplete mobile number","Log In with incomplete mobile number",""
"broken","Wed Jun 01 16:07:23 PST 2022","Wed Jun 01 16:07:24 PST 2022","1704","","Testing Activity","","Testing Activity","get activity","get activity",""
"passed","Sat May 28 22:28:01 PST 2022","Sat May 28 22:28:07 PST 2022","5512","","Login Tests","","Login Tests","Log In without password","Log In without password",""
"broken","Wed Jun 01 10:24:38 PST 2022","Wed Jun 01 10:24:45 PST 2022","6808","","Testing Activity","","Testing Activity","get activity","get activity",""
"passed","Sat May 28 22:27:43 PST 2022","Sat May 28 22:27:46 PST 2022","2228","","Login Tests","","Login Tests","Typing at password field","Typing at password field",""
"passed","Sat May 28 22:28:07 PST 2022","Sat May 28 22:28:11 PST 2022","4411","","Login Tests","","Login Tests","Log In without mobile number","Log In without mobile number",""
"passed","Sat May 28 22:27:23 PST 2022","Sat May 28 22:27:37 PST 2022","14407","","Login Tests","","Login Tests","Log In Page UI","Log In Page UI",""
"broken","Mon May 30 15:14:12 PST 2022","Mon May 30 15:14:26 PST 2022","13850","","Homepage Tests","","Homepage Tests","""before all"" hook for Homepage Tests","""before all"" hook for Homepage Tests",""
"broken","Tue May 31 22:23:13 PST 2022","Tue May 31 22:23:20 PST 2022","7349","","Homepage Tests","","Homepage Tests","Homepage UI Test","Homepage UI Test",""
"passed","Sat May 28 22:27:55 PST 2022","Sat May 28 22:28:01 PST 2022","6314","","Login Tests","","Login Tests","Log in with Invalid password","Log in with Invalid password",""
"passed","Mon May 30 13:52:36 PST 2022","Mon May 30 13:52:36 PST 2022","0","","USER - IOS: Log In Tests","","USER - IOS: Log In Tests","Log in with valid credentaials","Log in with valid credentaials",""
"passed","Sat May 28 22:27:52 PST 2022","Sat May 28 22:27:55 PST 2022","2815","","Login Tests","","Login Tests","Tap Terms and Conditions","Tap Terms and Conditions",""
"failed","Mon May 30 13:52:06 PST 2022","Mon May 30 13:52:36 PST 2022","30817","","USER - IOS: Log In Tests","","USER - IOS: Log In Tests","Tapping the mobile field","Tapping the mobile field",""
"passed","Sat May 28 22:27:42 PST 2022","Sat May 28 22:27:43 PST 2022","1526","","Login Tests","","Login Tests","Typing at mobile number field","Typing at mobile number field",""
"passed","Sat May 28 22:27:49 PST 2022","Sat May 28 22:27:52 PST 2022","3439","","Login Tests","","Login Tests","Tap Privacy Policy","Tap Privacy Policy",""
"passed","Sat May 28 23:41:37 PST 2022","Sat May 28 23:42:05 PST 2022","28157","","Login Tests","","Login Tests","Log in with valid credentaials","Log in with valid credentaials",""
"passed","Sun May 29 23:06:31 PST 2022","Sun May 29 23:07:02 PST 2022","30773","","Ios","","Ios","test 1","test 1",""
"passed","Sat May 28 22:27:46 PST 2022","Sat May 28 22:27:49 PST 2022","3205","","Login Tests","","Login Tests","Tap Forgot Password","Tap Forgot Password",""
"failed","Sat May 28 23:31:25 PST 2022","Sat May 28 23:31:36 PST 2022","11154","","Login Tests","","Login Tests","""before all"" hook for Login Tests","""before all"" hook for Login Tests",""
"passed","Mon May 30 09:15:16 PST 2022","Mon May 30 09:15:32 PST 2022","16165","","USER - IOS: Log In Tests","","USER - IOS: Log In Tests","Log In Page UI","Log In Page UI",""
"passed","Sat May 28 23:17:05 PST 2022","Sat May 28 23:17:21 PST 2022","16406","","Login Tests","","Login Tests","Log in without credentials","Log in without credentials","Mobile number has no error message"
"passed","Sat May 28 22:27:40 PST 2022","Sat May 28 22:27:42 PST 2022","2155","","Login Tests","","Login Tests","Tapping Password Field","Tapping Password Field",""
"passed","Sat May 28 22:27:37 PST 2022","Sat May 28 22:27:40 PST 2022","2616","","Login Tests","","Login Tests","Tapping the mobile field","Tapping the mobile field",""
